Rank,Name,Player ID,Wins
1,Lucas Sobral,98596597,4
2,Antônio Humberto,12427485,3
3,NATHAN ROCHA,18317231,3
4,Raul Nascimento,49431471,3
5,Gabriel Makai,18317156,2
6,Fábio Ribeiro Dantas Júnior,71526435,1
7,Lorena Gabrielle,26364831,1
8,Felipe Santos,58337719,1
9,Mateus Oliveira Silva,95893671,1
