Rank,Name,Player ID,Wins
1,Antônio Humberto,12427485,4
2,Gabriel Makai,18317156,3
3,Lucas Sobral,98596597,3
4,Lucas Matos de Araújo,69518457,3
5,NATHAN ROCHA,18317231,2
6,Josué Santos,85141398,2
7,Felipe Santos,58337719,2
8,Mateus Oliveira Silva,95893671,2
9,Elifas Neto,48287855,2
10,Lorena Gabrielle,26364831,1
11,Raul Nascimento,49431471,1
12,Paulo Sampaio,68572425,0
Dropped,Paulo Medeiros,56615621,0
